JobTitle,BasePay,OvertimePay,OtherPay,Benefits,TotalPay,TotalPayBenefits
communications dispatcher 2,3400357.79,382223.17,190634.91,1418752.89,3973215.87,5391968.76
communications dispatcher i,1046941.95,85056.48,33424.14,0.0,1165422.57,1165422.57
communications dispatcher ii,1080626.88,131794.61,48609.64,0.0,1261031.13,1261031.13
communications line worker supervisor ii,211722.85,68397.17,32815.42,0.0,312935.44,312935.44
communications line wrk sprv 2,430946.13,79067.06,89125.87,156949.14,599139.06,756088.2
communications systems tech,6167011.52,825080.86,373345.46,2080554.08,7365437.84,9445991.92
communications systems technician,1934951.36,120640.49,70038.54,0.0,2125630.39,2125630.39
community development assistant,360220.25,1393.68,960.0,0.0,362573.93,362573.93
community development asst,1206918.01,8705.3,6921.45,508128.36,1222544.76,1730673.12
community development spec,3755271.79,0.0,8038.9,1528525.42,3763310.69,5291836.11
community development specialist,1346264.63,0.0,1500.26,0.0,1347764.89,1347764.89
community police services aide,32248448.5,2354871.37,2301254.33,14889751.86,36904574.2,51794326.06
confidential chief attorney ii (civil & criminal),641723.16,0.0,3242.88,0.0,644966.04,644966.04
confidential secretary city attorney,78482.26,0.0,0.0,0.0,78482.26,78482.26
confidential secretary to district attorney,81650.52,0.0,0.0,0.0,81650.52,81650.52
conservatorship/case mgnt supv,88547.24,0.0,0.0,0.0,88547.24,88547.24
conservatorship/case mgt sprv,294624.76,0.0,0.0,107208.62,294624.76,401833.38
construction inspector,20873332.63,1788141.73,338792.08,5760685.49,23000266.44,28760951.93
contract compliance officer 1,7726145.34,0.0,90666.77,2880826.16,7816812.11,10697638.27
contract compliance officer 2,5149698.32,0.0,40149.09,1697766.23,5189847.41,6887613.64
contract compliance officer i,2271086.62,0.0,24173.75,0.0,2295260.37,2295260.37
contract compliance officer ii,1686811.3,0.0,6348.43,0.0,1693159.73,1693159.73
controller,790766.26,0.0,3486.0,234931.16,794252.26,1029183.42
conversion,0.0,0.0,3361.44,0.0,3361.44,3361.44
cook,5146827.76,634222.51,137218.98,1588444.61,5918269.25,7506713.86
coord of citizen involvement,2329927.59,0.0,55276.98,838168.28,2385204.57,3223372.85
"coord, human rights comm",976355.71,0.0,2190.75,337911.43,978546.46,1316457.89
coordinator of citizen involvement,701755.79,0.0,8307.67,0.0,710063.46,710063.46
"coordinator, human rights commission",247043.61,0.0,3274.29,0.0,250317.9,250317.9
counselor 2,566102.58,101257.84,14922.78,215758.62,682283.2,898041.82
counselor ii,209559.52,16161.49,6948.41,0.0,232669.42,232669.42
"counselor, family court service",771447.22,0.0,41663.56,0.0,813110.78,813110.78
"counselor, family court svc",1288380.98,0.0,116465.31,486473.37,1404846.29,1891319.66
"counselor, juvenile hall",16478979.35,2488222.23,773837.72,4444385.0,19741039.3,24185424.3
"counselor, juvenile hall sfers",1155232.44,143696.36,41655.27,325147.73,1340584.07,1665731.8
"counselor, log cabin ranch",3860003.91,1026373.87,200145.67,1110601.02,5086523.45,6197124.47
"counselor,log cabin rnch sfers",244055.13,28021.65,12174.02,49124.41,284250.8,333375.21
court ad resolution coordinator,83002.23,0.0,0.0,0.0,83002.23,83002.23
court administrative secretary,389767.8,0.0,15440.86,130312.58,405208.66,535521.24
court administrator,829397.95,0.0,36275.11,179275.08,865673.06,1044948.14
court alternative specialist 1,642808.29,0.0,6120.0,283450.32,648928.29,932378.61
court alternative specialist i,233506.07,0.0,2040.0,0.0,235546.07,235546.07
"court assistant - senior, superior court",648655.49,0.0,0.0,0.0,648655.49,648655.49
"court assistant, superior court",77089.0,0.0,609.6,0.0,77698.6,77698.6
"court asst-sr, superior court",182226.03,0.0,11373.03,98993.53,193599.06,292592.59
"court asst., superior court",80833.77,0.0,12488.53,35992.71,93322.3,129315.01
court clerk,291711.61,0.0,6179.21,83639.99,297890.82,381530.81
court commissioner,1542936.22,0.0,172641.27,155353.35,1715577.49,1870930.84
court computer applications analyst,280291.62,0.0,7237.76,0.0,287529.38,287529.38
court computer applications programmer,341180.54,0.0,1824.0,0.0,343004.54,343004.54
court computer facilities coordinator,120370.6,0.0,624.0,0.0,120994.6,120994.6
court computer sys manager,876206.72,0.0,21901.83,318239.48,898108.55,1216348.03
court computer systems engineer ii,415944.26,0.0,2472.0,0.0,418416.26,418416.26
court computer systems manager,412513.2,0.0,805.2,0.0,413318.4,413318.4
court executive officer,570921.89,0.0,8625.39,134579.96,579547.28,714127.24
court interpreter,2962433.64,3570.93,33313.18,805214.69,2999317.75,3804532.44
court interpreter supervisor,293170.99,0.0,6273.85,87394.98,299444.84,386839.82
court investigator,744524.11,0.0,7313.29,0.0,751837.4,751837.4
"court invstgtor, superior crt",1042021.04,0.0,39189.18,381942.58,1081210.22,1463152.8
court manager,2912206.22,0.0,147403.4,780355.42,3059609.62,3839965.04
court paralegal,299823.83,0.0,13252.43,89182.51,313076.26,402258.77
court reporter,13240308.66,0.0,1319666.22,2783640.41,14559974.88,17343615.29
court reporter coordinator,392783.1,0.0,6955.35,104283.11,399738.45,504021.56
court staff attorney ii,2863825.26,0.0,173327.28,632366.58,3037152.54,3669519.12
court supervisor i,142876.44,0.0,34237.89,24681.92,177114.33,201796.25
court supervisor ii,5257560.66,0.0,151194.45,1652756.97,5408755.11,7061512.08
court training specialist,1033471.17,0.0,20966.12,228373.36,1054437.29,1282810.65
crafts instructor,1212672.21,0.0,47453.84,398025.21,1260126.05,1658151.26
crane mechanic supervisor,443918.53,20371.03,0.0,115789.82,464289.56,580079.38
crime lab mgr,234039.01,0.0,19623.87,83847.81,253662.88,337510.69
crime laboratory manager,134178.0,0.0,0.0,0.0,134178.0,134178.0
criminal justice specialist 2,1417458.67,0.0,3000.0,546792.6,1420458.67,1967251.27
criminal justice specialist ii,444585.73,0.0,6105.59,0.0,450691.32,450691.32
criminalist i,717519.89,1395.96,158.32,273598.99,719074.17,992673.16
criminalist ii,5731782.46,168883.89,49647.12,1646109.84,5950313.47,7596423.31
criminalist iii,1952423.33,77956.83,3063.39,499147.71,2033443.55,2532591.26
ct comp app analyst,420228.31,0.0,15032.86,151192.08,435261.17,586453.25
ct comp app programmer,710280.44,0.0,23642.34,245193.89,733922.78,979116.67
ct comp facilities coord,29282.73,0.0,47658.87,8333.34,76941.6,85274.94
ct comp sys engineer ii,654376.56,0.0,25571.67,235441.45,679948.23,915389.68
curator 1,394440.81,0.0,8409.74,170942.48,402850.55,573793.03
curator 2,1601179.03,0.0,8873.14,643855.79,1610052.17,2253907.96
curator 3,1443673.43,0.0,6921.78,579603.51,1450595.21,2030198.72
curator 4,1313515.62,0.0,21334.85,489111.03,1334850.47,1823961.5
curator i,154389.5,0.0,0.0,0.0,154389.5,154389.5
curator ii,559986.39,243.53,3534.02,0.0,563763.94,563763.94
curator iii,509500.78,0.0,3357.5,0.0,512858.28,512858.28
curator iv,396604.64,0.0,1500.4,0.0,398105.04,398105.04
custodial assistant supervisor,10457743.19,544115.12,470863.03,3798019.09,11472721.34,15270740.43
custodial supervisor,2552251.12,94471.62,150655.46,899238.77,2797378.2,3696616.97
custodian,134073438.08,4891153.44,7107136.06,51054066.97,146071727.58,197125794.55
customer service agent,12110228.58,441213.44,394672.69,5216133.81,12946114.71,18162248.52
customer service agent supervisor,442986.25,9311.56,7829.92,0.0,460127.73,460127.73
customer service agent supv,1727164.76,41115.35,27113.86,694839.3,1795393.97,2490233.27
customer service agent trainee,624974.06,153.8,18627.67,24539.68,643755.53,668295.21
da investigative assist,5381800.58,7282.36,30065.7,2262128.12,5419148.64,7681276.76
dental aide,3563758.25,0.0,75835.26,1172178.9,3639593.51,4811772.41
dental hygienist,1083358.33,0.0,4536.3,317123.17,1087894.63,1405017.8
dentist,3738111.12,0.0,32744.84,877547.43,3770855.96,4648403.39
dep chf of dept (fire dept),1569133.7,32614.56,228094.69,457422.75,1829842.95,2287265.7
"dep dir for investments, ret",552307.53,0.0,4877.56,154277.43,557185.09,711462.52
dep dir i,2164205.43,0.0,75142.01,870906.18,2239347.44,3110253.62
dep dir ii,10526541.85,0.0,373478.93,3926102.3,10900020.78,14826123.08
dep dir iii,17413681.87,0.0,420643.1,6031302.04,17834324.97,23865627.01
dep dir iv,12061332.69,0.0,234758.7,3901546.46,12296091.39,16197637.85
dep dir v,9199494.74,0.0,304738.74,2906207.2,9504233.48,12410440.68
department head i,1436820.46,0.0,39039.9,0.0,1475860.36,1475860.36
department head ii,1129599.28,0.0,6167.87,0.0,1135767.15,1135767.15
department head iii,1442022.19,0.0,0.0,0.0,1442022.19,1442022.19
department head iv,826441.33,0.0,0.0,0.0,826441.33,826441.33
department head v,1539712.23,0.0,97126.03,0.0,1636838.26,1636838.26
dept head i,4665471.77,0.0,91550.87,1736584.73,4757022.64,6493607.37
dept head ii,3564941.92,0.0,142122.09,1222404.71,3707064.01,4929468.72
dept head iii,4077731.91,0.0,111238.92,1351747.46,4188970.83,5540718.29
dept head iv,3570106.14,0.0,24952.59,1085747.3,3595058.73,4680806.03
dept head v,4672632.82,0.0,92771.65,1366178.66,4765404.47,6131583.13
depty sealer of weights & meas,235894.38,0.0,3060.0,93953.83,238954.38,332908.21
deputy chief 3,4442811.7,0.0,1190575.07,1184693.54,5633386.77,6818080.31
deputy chief iii (police department),1098793.63,0.0,151338.81,0.0,1250132.44,1250132.44
"deputy chief of department,(fire department)",599557.96,13815.0,224705.72,0.0,838078.68,838078.68
deputy court clerk i,992603.75,0.0,4044.32,346341.77,996648.07,1342989.84
deputy court clerk ii,27931212.4,988.16,1032647.96,7910655.01,28964848.52,36875503.53
deputy court clerk iii,23880908.34,621.9,702680.73,6286278.06,24584210.97,30870489.03
"deputy dir i, mta",2887567.43,0.0,128078.01,943075.76,3015645.44,3958721.2
"deputy dir ii, mta",2501650.7,0.0,79534.55,790546.94,2581185.25,3371732.19
deputy director i,574830.69,0.0,2867.39,0.0,577698.08,577698.08
deputy director i - municipal transportation age,854870.63,0.0,1168.43,0.0,856039.06,856039.06
deputy director ii,2993109.42,1077.67,63888.7,0.0,3058075.79,3058075.79
deputy director ii - municipal transportation ag,982482.54,0.0,22124.9,0.0,1004607.44,1004607.44
deputy director iii,3914374.67,0.0,71283.6,0.0,3985658.27,3985658.27
deputy director iv,3614556.62,0.0,107808.5,0.0,3722365.12,3722365.12
deputy director of investments,256576.96,0.0,51322.5,0.0,307899.46,307899.46
deputy director v,2944253.45,0.0,35208.32,0.0,2979461.77,2979461.77
deputy probation officer,38005903.18,645980.0,503418.98,10476611.83,39155302.16,49631913.99
deputy probation officer sfers,2517592.97,3982.29,5976.96,1087528.19,2527552.22,3615080.41
deputy sealer of weights and measures,58194.62,0.0,920.0,0.0,59114.62,59114.62
deputy sheriff,221384381.15,34031188.18,21612545.7,64174687.37,277028115.03,341202802.4
deputy sheriff (sfers),1203328.16,199975.68,64802.3,513311.94,1468106.14,1981418.08
deputy sheriff 1,3135864.46,322986.72,119707.68,1437343.64,3578558.86,5015902.5
diagnostic imaging tech i,8975857.7,661392.29,750994.13,2077815.59,10388244.12,12466059.71
diagnostic imaging tech ii,12061755.17,1199411.57,1294841.46,3386866.65,14556008.2,17942874.85
diagnostic imaging tech iii,3758121.84,248873.07,553351.66,1002157.86,4560346.57,5562504.43
diagnostic imaging tech iv,2625787.03,94536.05,89347.37,736996.06,2809670.45,3546666.51
dietetic technician,1118311.27,7292.12,14309.86,415809.07,1139913.25,1555722.32
dietitian,4797507.29,0.0,58658.69,1405192.15,4856165.98,6261358.13
dir emp relations div,608474.3,0.0,141.18,192396.12,608615.48,801011.6
"dir of act, therapy & vol svcs",504126.15,0.0,19812.63,198713.45,523938.78,722652.23
"dir, log cabin ranch (sfers)",173551.53,0.0,5277.33,50876.73,178828.86,229705.59
"director of activities, therapy and volunteer serv",150788.34,0.0,3493.42,0.0,154281.76,154281.76
"director, employee relations division",186341.79,0.0,0.0,0.0,186341.79,186341.79
"director, fiscal services",407330.38,0.0,7096.73,105232.45,414427.11,519659.56
"director, human resources",369331.67,0.0,6461.07,97526.51,375792.74,473319.25
"director, info tech group",339388.2,0.0,7931.2,115437.48,347319.4,462756.88
"director, information technology group",163017.24,0.0,3209.0,0.0,166226.24,166226.24
"director, juvenile hall",454122.29,23705.57,4772.88,122109.83,482600.74,604710.57
"director, probate",340027.67,0.0,25060.8,93013.9,365088.47,458102.37
"director, probation services",476212.09,0.0,4500.0,138145.37,480712.09,618857.46
disability access coordinator,716651.54,0.0,0.0,186563.49,716651.54,903215.03
disease control investigator,1997185.05,0.0,24605.68,662139.73,2021790.73,2683930.46
dist atty investigator (sfers),1876331.85,120595.32,111966.95,638682.25,2108894.12,2747576.37
district attorney,962339.34,0.0,13864.99,200801.73,976204.33,1177006.06
district attorney's investigative assistant,1517705.97,0.0,7954.96,0.0,1525660.93,1525660.93
district attorney's investigator,1696416.24,74233.36,81138.32,0.0,1851787.92,1851787.92
district attry's investigator,3471946.8,89025.05,216896.11,1070007.94,3777867.96,4847875.9
"div director, adult probation",1410805.15,0.0,23923.2,537565.67,1434728.35,1972294.02
division director adult probation,189279.43,0.0,18008.54,0.0,207287.97,207287.97
document examiner technician,1000901.63,18787.39,37576.21,174893.7,1057265.23,1232158.93
drug court coordinator,,0.0,0.0,7959.18,0.0,7959.18
duty officer,250451.27,0.0,0.0,114173.75,250451.27,364625.02
eeo programs specialist,1223382.96,0.0,2620.0,449834.97,1226002.96,1675837.93
eeo senior specialist,2595441.77,0.0,78346.21,911276.81,2673787.98,3585064.79
elections clerk,2702777.35,250810.09,28768.0,768004.9,2982355.44,3750360.34
elections worker,1280623.0,82309.96,11776.75,429585.81,1374709.71,1804295.52
electr instrmntn tech wtr poll,4972353.45,172659.2,107940.16,1776322.9,5252952.81,7029275.71
electr maint tech asst sprv,5266688.12,943294.46,192824.82,1840875.74,6402807.4,8243683.14
electric motor repair sprv 1,311052.51,4340.71,0.0,111059.24,315393.22,426452.46
electric motor repair supervisor i,99014.4,549.86,180.0,0.0,99744.26,99744.26
electric motor repairer,2419751.51,729263.18,38050.03,701894.54,3187064.72,3888959.26
electrical engineering associate i,74412.07,160.98,0.0,0.0,74573.05,74573.05
electrical inspector,7675167.78,526020.11,226182.73,2000230.81,8427370.62,10427601.43
electrical line helper,5272960.2,1044739.26,122052.25,1585492.36,6439751.71,8025244.07
electrical line worker,3797298.39,937517.44,360091.35,1133042.44,5094907.18,6227949.62
electrical transit mechanic supervisor i,312988.47,89499.56,57400.64,0.0,459888.67,459888.67
"electrical transit mechanic, assistant supervisor",1531655.39,573029.4,166056.34,0.0,2270741.13,2270741.13
electrical transit shop sprv 1,1175880.52,391419.51,19104.36,384782.5,1586404.39,1971186.89
electrical transit shop supervisor i,662320.47,146116.99,52046.18,0.0,860483.64,860483.64
electrical transit system mech,47346243.83,14157980.26,3296538.27,19576385.82,64800762.36,84377148.18
electrical transit system mechanic,14576276.52,6391958.21,1197803.04,0.0,22166037.77,22166037.77
electrical trnst mech sprv 1,977086.24,332964.71,9652.24,339702.94,1319703.19,1659406.13
electrical trnst shop sprv 1,581727.05,135013.53,70935.6,227419.79,787676.18,1015095.97
electrician,31146223.32,2025575.85,938761.35,8916582.44,34110560.52,43027142.96
electrician supervisor 1,3492111.44,396681.3,85520.55,1239020.46,3974313.29,5213333.75
electrician supervisor 2,691734.46,12550.89,26446.32,237604.47,730731.67,968336.14
electrician supervisor i,1081464.57,87364.52,25007.51,0.0,1193836.6,1193836.6
electrician supervisor ii,782001.87,18659.57,23016.81,150351.05,823678.25,974029.3
"electrl trnst mech, asst sprv",5845050.96,1951949.99,675197.31,2240697.02,8472198.26,10712895.28
electroencephalograph tech 1,207343.57,100.36,7609.1,88555.6,215053.03,303608.63
electroencephalograph technician i,62321.99,993.2,430.0,0.0,63745.19,63745.19
"electronic instrumentation technician,wtr pltncn",1562358.81,10699.57,34764.14,0.0,1607822.52,1607822.52
electronic maintenance tech,40935843.23,7038933.13,2264110.14,14914611.94,50238886.5,65153498.44
electronic maintenance technician,11598355.09,1941228.14,625149.38,0.0,14164732.61,14164732.61
electronic maintenance technician assistant superv,1377552.57,193067.82,47364.69,0.0,1617985.08,1617985.08
elevator and crane technician,746312.41,49664.22,13932.69,191840.8,809909.32,1001750.12
eligibility worker,44062600.56,1974103.16,1018723.05,15284135.18,47055426.77,62339561.95
eligibility worker supervisor,18270964.71,889372.31,262091.97,5765617.97,19422428.99,25188046.96
emergency med svcs agency spec,1786942.76,991.33,138279.28,637394.16,1926213.37,2563607.53
emergency medical services agency specialist,380844.82,0.0,53844.24,0.0,434689.06,434689.06
emergency medical svcs chief,696108.02,0.0,41766.48,202394.49,737874.5,940268.99
emergency planning coordinator,181942.15,0.0,14343.6,45266.61,196285.75,241552.36
emergency protective orders commissioner,63242.26,0.0,21814.89,0.0,85057.15,85057.15
emergency services assistant,68624.77,0.0,0.0,33418.91,68624.77,102043.68
emergency services coord i,128501.24,2560.66,0.0,55725.34,131061.9,186787.24
emergency services coord ii,395490.6,0.0,10301.21,135374.93,405791.81,541166.74
emergency services coord iii,1153179.58,1552.0,28706.02,419461.01,1183437.6,1602898.61
emergency services coord iv,754358.15,3776.27,12685.41,263021.2,770819.83,1033841.03
emp & training spec 2,4813610.53,1891.96,150184.11,1991615.16,4965686.6,6957301.76
emp & training spec 4,5008676.9,0.0,114782.24,1958205.71,5123459.14,7081664.85
employee assistance counselor,345533.68,0.0,0.0,100560.69,345533.68,446094.37
employee relations representat,1685024.48,0.0,11649.77,553477.27,1696674.25,2250151.52
employee relations representative,282217.02,0.0,0.0,0.0,282217.02,282217.02
employment & training spec 1,2614036.37,1685.41,21083.09,1053731.15,2636804.87,3690536.02
employment & training spec 3,10679187.51,5686.05,118823.51,4298713.67,10803697.07,15102410.74
employment & training spec 5,2431943.32,275.1,4354.74,896465.91,2436573.16,3333039.07
employment & training spec 6,344348.5,0.0,0.0,119467.34,344348.5,463815.84
employment & training specialist ii,2554883.21,5333.27,60977.93,0.0,2621194.41,2621194.41
employment & training specialist iv,1296840.96,0.0,30805.51,0.0,1327646.47,1327646.47
employment and training specialist i,437353.72,120.34,12583.08,0.0,450057.14,450057.14
employment and training specialist iii,2902988.75,0.0,39954.56,0.0,2942943.31,2942943.31
employment and training specialist v,531537.91,0.0,4099.41,0.0,535637.32,535637.32
employment and training specialist vi,98305.36,0.0,0.0,0.0,98305.36,98305.36
emt/paramedic/firefighter,93030112.19,19412173.93,9823014.6,31866148.92,122265300.72,154131449.64
eng/arch/landscape arch sr,39830598.6,517.2,943361.4,12208943.32,40774477.2,52983420.52
engineer,76114118.91,30636.53,1455951.71,18968612.07,77600707.15,96569319.22
engineer/architect principal,12973074.45,0.0,293964.63,3699893.57,13267039.08,16966932.65
engineering assistant,2643940.74,67764.11,13594.71,1145364.09,2725299.56,3870663.65
engineering associate 1,7336998.3,71084.97,99718.86,2922982.27,7507802.13,10430784.4
engineering associate 2,7026355.6,135785.76,61548.43,2593051.22,7223689.79,9816741.01
engineering associate ii,1708207.07,21200.17,33012.73,0.0,1762419.97,1762419.97
environment health technician ii,59441.45,0.0,1290.16,0.0,60731.61,60731.61
environment specialist,1174871.41,0.0,13713.61,0.0,1188585.02,1188585.02
environmental assistant,4621649.72,0.0,25216.59,1560841.72,4646866.31,6207708.03
environmental health inspector,7643309.48,671.55,115133.46,2233625.77,7759114.49,9992740.26
environmental health technician i,799880.44,0.0,5741.14,0.0,805621.58,805621.58
environmental hlth tech 1,2582275.55,612.56,20228.98,1119777.29,2603117.09,3722894.38
environmental hlth tech 2,117492.85,0.0,8213.98,49650.59,125706.83,175357.42
environmental service worker,4095866.78,65502.12,225451.87,1533918.45,4386820.77,5920739.22
environmental spec,4405942.88,0.0,34126.22,1704141.96,4440069.1,6144211.06
epidemiologist 1,1245263.22,0.0,8711.28,499993.76,1253974.5,1753968.26
epidemiologist 2,5155811.76,0.0,26266.16,1838723.71,5182077.92,7020801.63
epidemiologist i,386614.18,0.0,3545.99,0.0,390160.17,390160.17
epidemiologist ii,1624269.43,0.0,15832.09,0.0,1640101.52,1640101.52
estate investigator,6737581.94,13718.1,28207.59,2141210.14,6779507.63,8920717.77
events & facilities specialist,970751.57,26374.96,18281.01,399521.75,1015407.54,1414929.29
"ex asst to admin, sfgh",616075.33,0.0,94981.08,244851.82,711056.41,955908.23
"ex asst to ex dir, retirement",365087.36,0.0,11986.0,148604.45,377073.36,525677.81
ex asst to the controller,277859.12,0.0,0.0,103898.35,277859.12,381757.47
"ex dir, se com fac comm",321124.15,0.0,3486.0,134947.61,324610.15,459557.76
"executive assistant to the administrator, s.f.g.h.",173088.47,0.0,3185.12,0.0,176273.59,176273.59
"executive assistant to the general manager, retire",111821.33,0.0,0.0,0.0,111821.33,111821.33
executive contract employee,2084875.79,0.0,196452.34,441985.57,2281328.13,2723313.7
"executive director, southeast community facility",101033.76,0.0,0.0,0.0,101033.76,101033.76
executive secretary 1,11879225.69,52965.1,120819.96,5035734.61,12053010.75,17088745.36
executive secretary 2,12657019.24,62052.73,63250.24,5042978.57,12782322.21,17825300.78
executive secretary 3,4187409.62,11948.58,59325.39,1628624.75,4258683.59,5887308.34
executive secretary i,3813154.83,14878.93,34872.43,0.0,3862906.19,3862906.19
executive secretary ii,4052568.13,22703.29,27330.22,0.0,4102601.64,4102601.64
executive secretary iii,1150212.76,5079.92,4657.96,0.0,1159950.64,1159950.64
executive secretary to the controller,86787.02,0.0,0.0,0.0,86787.02,86787.02
fare collections receiver,9674806.1,1238515.17,415225.84,3464147.81,11328547.11,14792694.92
fare inspections supervisor/investigator,488199.49,20837.54,43908.48,0.0,552945.51,552945.51
farmer,220364.51,0.0,844.48,75370.07,221208.99,296579.06
"feasibility analyst, port",383288.15,0.0,352.0,107420.65,383640.15,491060.8
field services assistant supervisor,60942.29,2347.34,5695.53,0.0,68985.16,68985.16
field svcs asst supv,181513.75,5842.18,17678.61,80608.48,205034.54,285643.02
fingerprint technician 1,1242599.44,83250.69,44145.87,615801.91,1369996.0,1985797.91
fingerprint technician 2,2523367.61,159823.85,156746.01,1157830.7,2839937.47,3997768.17
fingerprint technician 3,774953.81,84695.36,58335.73,343338.21,917984.9,1261323.11
fingerprint technician i,305001.94,15360.29,5133.15,0.0,325495.38,325495.38
fingerprint technician ii,810467.15,42857.53,53849.57,0.0,907174.25,907174.25
fingerprint technician iii,310213.45,14908.74,11527.3,0.0,336649.49,336649.49
fire alarm dispatcher,724961.51,67971.17,68399.29,218129.48,861331.97,1079461.45
fire fighter paramedic,30874339.43,4587058.11,3496584.3,0.0,38957981.84,38957981.84
fire protection engineer,2041577.48,19279.1,11961.23,500587.23,2072817.81,2573405.04
fire rescue paramedic,1653246.87,81206.6,225221.83,377163.43,1959675.3,2336838.73
fire safety inspector 2,4019121.49,794384.68,241771.85,1303656.58,5055278.02,6358934.6
fire safety inspector ii,1383648.26,14687.0,280225.91,0.0,1678561.17,1678561.17
firefighter,318952999.37,86159458.81,49620563.05,87837582.14,454733021.23,542570603.37
fiscal services coordinator,205670.4,0.0,27.52,0.0,205697.92,205697.92
fiscal services supervisor,427462.98,0.0,81564.78,197077.4,509027.76,706105.16
fiscal technician,1233841.47,0.0,35584.36,352597.13,1269425.83,1622022.96
food service manager administrator,167899.48,0.0,12324.56,0.0,180224.04,180224.04
food service mgr administrator,727253.05,0.0,10278.82,366306.15,737531.87,1103838.02
food service supervisor,1919192.19,162716.36,65875.83,668820.98,2147784.38,2816605.36
food service worker,20426013.59,3530592.12,549350.6,8367998.35,24505956.31,32873954.66
forensic autopsy technician,514500.69,9276.52,9816.73,162453.25,533593.94,696047.19
forensic laboratory technician,614775.15,1080.1,4049.66,189254.71,619904.91,809159.62
forensic toxicologist,572519.54,0.0,90897.29,110840.88,663416.83,774257.71
forensic toxicologist supervis,17087.0,0.0,276.14,5788.74,17363.14,23151.88
forester,767571.09,0.0,12562.0,255921.68,780133.09,1036054.77
fusion welder,1097560.09,17235.25,53483.25,315963.58,1168278.59,1484242.17
gardener,62304226.66,2495739.84,1430903.72,21298954.1,66230870.22,87529824.32
"gen mgr, public trnsp dept",893308.24,0.0,0.0,248781.08,893308.24,1142089.32
general laborer,67904817.08,4557939.93,3107181.11,23283417.63,75569938.12,98853355.75
general laborer supervisor 1,8078633.97,656689.73,430916.11,3578420.08,9166239.81,12744659.89
general laborer supervisor i,2471277.72,170203.81,156605.07,0.0,2798086.6,2798086.6
general manager-metropolitan transit authority,398238.3,0.0,400184.25,0.0,798422.55,798422.55
general utility mechanic,3341675.28,88896.66,127028.79,877597.68,3557600.73,4435198.41
glazier,2327280.75,80401.64,100213.15,646967.56,2507895.54,3154863.1
glazier supervisor 1,128142.09,614.71,3401.77,47652.74,132158.57,179811.31
glazier supervisor i,86774.62,288.82,66.0,0.0,87129.44,87129.44
government and public affairs manager,462518.88,0.0,1614.42,0.0,464133.3,464133.3
govrnmt/publ affairs mgr,447702.8,0.0,41579.48,176766.93,489282.28,666049.21
graphic artist,1322013.9,157.05,5951.75,463501.03,1328122.7,1791623.73
graphics supervisor,233118.52,0.0,1800.0,95479.92,234918.52,330398.44
head airport electrician,151672.61,17165.26,31977.46,14425.88,200815.33,215241.21
"head attorney, civil and criminal",7479416.78,0.0,155856.99,0.0,7635273.77,7635273.77
"head atty, civil & criminal",23600957.4,0.0,484698.52,6839849.53,24085655.92,30925505.45
head park patrol officer,613591.17,332605.19,150926.76,201279.69,1097123.12,1298402.81
head photographer,125432.25,0.0,23519.47,25552.61,148951.72,174504.33
health care analyst,4319326.1,0.0,32085.54,1425406.98,4351411.64,5776818.62
health care billing clerk 1,1703229.43,20596.63,32643.09,806207.16,1756469.15,2562676.31
health care billing clerk 2,10691928.36,204804.6,127293.16,4627164.89,11024026.12,15651191.01
health care billing clerk i,356074.31,1531.86,9433.24,0.0,367039.41,367039.41
health care billing clerk ii,3295256.03,51999.34,46923.47,0.0,3394178.84,3394178.84
health educator,4833366.81,0.0,68392.92,1343631.85,4901759.73,6245391.58
health program coordinator 1,1889813.71,0.0,25469.34,764891.19,1915283.05,2680174.24
health program coordinator 2,4747860.95,952.67,44304.61,1792542.88,4793118.23,6585661.11
health program coordinator 3,14620766.04,199976.97,199070.88,5314558.03,15019813.89,20334371.92
health program coordinator i,674948.51,0.0,360.0,0.0,675308.51,675308.51
health program coordinator ii,1482967.97,0.0,1490.98,0.0,1484458.95,1484458.95
health program coordinator iii,3836803.36,7241.61,42474.58,0.0,3886519.55,3886519.55
health program planner,1871357.65,139.01,36549.82,546320.55,1908046.48,2454367.03
health worker 1,6861139.52,288583.87,134870.34,3575012.21,7284593.73,10859605.94
health worker 2,19211799.92,496205.39,541578.04,9053021.9,20249583.35,29302605.25
health worker 3,22798922.95,160047.86,497920.37,10013705.93,23456891.18,33470597.11
health worker 4,5605256.9,57506.43,91119.19,2359554.22,5753882.52,8113436.74
health worker i,2247993.17,53812.03,51597.06,0.0,2353402.26,2353402.26
health worker ii,5436717.54,96412.71,164794.85,0.0,5697925.1,5697925.1
health worker iii,7141139.49,36221.76,134974.65,0.0,7312335.9,7312335.9
health worker iv,1627573.94,30863.88,32944.51,0.0,1691382.33,1691382.33
heating and ventilating inspector,201926.55,67450.42,2710.3,0.0,272087.27,272087.27
heating/ventilating inspector,644713.16,275983.43,3645.88,226672.49,924342.47,1151014.96
heavy equip ops asst sprv,890541.98,7514.43,4381.72,322991.62,902438.13,1225429.75
heavy equipment operations assistant supervisor,92872.0,0.0,0.0,0.0,92872.0,92872.0
heavy equipment operations supervisor,391246.81,0.0,12512.44,0.0,403759.25,403759.25
heavy equipment ops sprv,1511465.4,8626.81,60782.87,542704.2,1580875.08,2123579.28
hh mechanical shop sprv,88914.18,5123.92,1150.0,33688.06,95188.1,128876.16
hodcarrier,1351566.2,54556.66,16643.0,410946.2,1422765.86,1833712.06
